,text,authors,sub_cluster
0,"Abrupt Holocene climate transitions in the northern North Atlantic region recorded by synchronized lacustrine records in Iceland | Two high-sediment-accumulation-rate Icelandic lakes, the glacial lake Hvitarvatn and the non-glacial lake Haukadalsvatn, contain numerous tephra layers of known age, which together with high-resolution paleomagnetic secular variations allow synchronization with a well-dated marine core from the shelf north of Iceland. A composite standardized climate record from the two lakes provides a single time series that efficiently integrates multi-proxy data that reflect the evolution of summer temperatures through the Holocene. The first-order trends in biogenic silica (BSi), delta C-13, and C:N rise relatively abruptly following deglaciation, reaching maximum values shortly after 8 ka following a complex minimum between 8.7 and 8.0 ka. The Holocene Thermal Maximum (HTM) in the lakes is marked by all proxies, with a sharp transition out of the 8 ka cold event into peak summer warmth by 7.9 ka, and continuing warm with some fluctuations until 5.5 ka. Decreasing summer insolation after the HTM is reflected by incremental cooling, initially similar to 5.5 ka, with subsequent cold perturbations recorded by all proxies 43 to 4.0 ka and 3.1 to 2.8 ka. The strongest disturbance occurred after 2 ka with initial summer cooling occurring between 1.4 and 1.0 ka, followed by a more severe drop in summer temperatures after 0.7 ka culminating between 0.5 and 02 ka. Following each late Holocene cold departure, BSi re-equilibrated at a lower value independent of the sediment accumulation rate. Some of the abrupt shifts may be related to Icelandic volcanism influencing catchment stability, but the lack of a full recovery to pre-existing values after the perturbation suggests increased periglacial activity, decreased vegetation cover, and glacier growth in the highlands of Iceland. The similarity in timing, direction and magnitude of our multi-proxy records from glacial and non-glacial lakes, and from the adjacent marine shelf, suggests that our composite record reflects large-scale shifts in ocean/atmosphere circulation throughout the northern North Atlantic. (C) 2013 Elsevier Ltd. All rights reserved. | ['geirsdottir', 'larsen', 'miller', 'olafsdottir'] | ","['geirsdottir', 'larsen', 'miller', 'olafsdottir']",4
1,"Abrupt climatic events during the last glacial-interglacial transition in Alaska | Evidence is mounting that abrupt climatic shifts occurred during the last glacial-interglacial transition (LGIT) in the North Atlantic and other regions. However, few high-resolution climatic records of the LGIT exist from the high latitudes of the North Pacific rim. We analyzed lake sediments from southwestern Alaska for biogenic silica, organic carbon, organic nitrogen, diatom assemblages, and compound-specific hydrogen isotopes. Results reveal climatic changes coincident with the Younger Dryas, Intra-Allerød Cold Period, and Pre-Boreal Oscillation. However, major discrepancies exist in the paleoclimate patterns of the Bølling-Allerød interstadial between our data and the GISP2 δ18O record from Greenland, and causes are uncertain. These data suggest that the North Pacific and North Atlantic experienced similar reversals during climatic warming of the LGIT but that the Bølling-Allerød cooling trend in the GISP2 δ18O record is probably not a hemispheric or global pattern. Copyright 2006 by the American Geophysical Union. | ['clarke', 'hu', 'huang', 'kaufman', 'nelson', 'rühland', 'smol'] | ","['clarke', 'hu', 'huang', 'kaufman', 'nelson', 'rühland', 'smol']",1
2,"Were abrupt Lateglacial and early-Holocene climatic changes in northwest Europe linked to freshwater outbursts to the North Atlantic and Arctic Oceans? | During the Lateglacial and early Holocene, abrupt, millennial-scale climatic variations are recorded in a wide range of high-resolution proxy records from marine and terrestrial archives in NW Europe. Our review of the evidence for these rapid climate events do not show an apparent link to possible forcing factors such as long-term, orbitally induced variations in solar radiation, short-term variations in solar activity as inferred from C-14, atmospheric carbon dioxide concentration, or volcanic sulphate as recorded in the GISP2 ice-core record. There is, however, a remarkable degree of similarity with the number, duration and timing of episodes of increased flux of fresh water to the north Atlantic and Arctic Oceans from the Laurentide ice sheet and from the Baltic ice lake in SW Sweden. These freshwater outburst events occurred when continental runoff from the Laurentide ice sheet was rerouted from the Mississippi River to the Hudson River, St Lawrence River, Hudson Strait and along the Mackenzie River to the Atlantic and Arctic Oceans, and when the Baltic ice lake in SW Sweden drained to Skagerrak. Periods of increased freshwater flow to the North Atlantic and Arctic Oceans may thus provide a mechanism to explain the abrupt and significant Lateglacial and early-Holocene climate events in NW Europe. The idea that freshwater outbursts might drive abrupt climate events is not new, but previous work may have underestimated the extent of support from proxy data and overestimated the influence of the Laurentide ice sheet. | ['bakke', 'dahl', 'nesje'] | ","['bakke', 'dahl', 'nesje']",2
3,"Age of Landslides Along the Grande Riviere De La Baleine Estuary Eastern Coast of Hudson Bay Quebec Canada | A 12 km long terrace along the estuary of the Grande Riviere de la Baleine, northern Quebec (55 .degree. 17'N, 77.degree. 47'W), has been locally modified by seven large landslides during the last 3,200 14C years. The oldest undated landslide occurred between 3,200 B.P. (formation of the upper terrace) and 2,200 B.P., i.e. the radiocarbon age of the second oldest landslide. The third one occurred around 900 B.P. sometime before peat started to accumulate on the flowbowl floor. The more recent landslides were dendrochronologically dated. They were formed in less than 30 years, i.e. in 1818 (2 synchronous landslides), 1839 and 1846 A.D. These 19th-century landslides were dated through a comparative analysis of growth curves derived from buried trees found in the flowing sediments or from tilted and cut trees, with the regional master chronologies and the northern Quebec light-ring chronology, using more specifically the 1816 and 1817 light-ring years. The 1818 landslides occurred during the growing season (July), whereas the 1839 and 1846 landslides were formed during spring. The occurrence of numerous landslides during this short period seems to be related to sustained cool and humid climatic conditions that may have enhanced the subsoil water content. | ['begin', 'filion'] | ","['begin', 'filion']",2
4,"Allerød-Younger Dryas lake temperatures from midge fossils in Atlantic Canada | Remains of freshwater midges are abundant in lake sediments, and their species distributions are closely related to the surface-water temperature of lakes; their distributions thus provide a powerful tool for paleoclimatology. The distribution of species m a core from Splan Pond in Atlantic Canada indicates that there were abrupt transitions in late-glacial temperatures between warm and cold states. The transitions are correlative with the well-known warm Allerød and cold Younger Dryas events in Europe. These data thus confirm the inference from palynological data that these events affected regions on both sides of the Atlantic. | ['mott', 'smol', 'walker'] | ","['mott', 'smol', 'walker']",4
5,"Alpine glaciers and permanent ice and snow patches in western Canada approach their smallest sizes since the mid-Holocene, consistent with global trends | Most alpine glaciers in the Northern Hemisphere reached their maximum extents of the Holocene between ad 1600 and 1850. Since the late 1800s, however, glaciers have thinned and retreated, mainly because of atmospheric warming. Glacier retreat in western Canada and other regions is exposing subfossil tree stumps, soils and plant detritus that, until recently, were beneath tens to hundreds of metres of ice. In addition, human artefacts and caribou dung are emerging from permanent snow patches many thousands of years after they were entombed. Dating of these materials indicates that many of these glaciers and snow patches are smaller today than at any time in the past several thousand years. This evidence, in turn, suggests that glacier recession in the 20th century is unprecedented during the past several millennia and that glaciers in western Canada have reached minimum extents only 150-300 years after they achieved their maximum Holocene extents. | ['clague', 'koch', 'osborn'] | ","['clague', 'koch', 'osborn']",1
6,"The Amphi-Atlantic Oscillation - a Proposed Late-Glacial Climatic Event | Numerous palaeoclimatic records from Europe, Greenland and the North Atlantic Ocean provide evidence for a short-term cooling event which preceded the Younger Dryas stadial of ca. 11-10 ka BP. The discovery of a similar event in eastern North America, the Killarney Oscillation (KO), raised the possibility of a single pre-Younger Dryas cooling event that affected the entire North Atlantic seaboard. This paper reviews evidence for the KO and other pre-Younger Dryas events and discusses the basis for their correlation. The informal name 'Amphi-Atlantic Oscillation' is proposed as a collective term for the KO and events that correlate with it. | ['cwynar', 'levesque', 'mayle', 'walker'] | ","['cwynar', 'levesque', 'mayle', 'walker']",4
7,"Back to the future: Global warming | Evidence from the past, for example in ice cores and fossils, can tell us what happened to plants and animals during historic periods of climate change. This article looks at what we can learn from the past and how we might use this knowledge to conserve our natural environment. Approximately 10,000 years ago, the Earth emerged from the last ice age (the Pleistocene) as the climate began to warm up. (See Glossary for definition of terms.) Only recently have scientists discovered the speed of this ancient 'global warming' event. Evidence from the Greenland ice sheet suggests that at that time temperatures rose by 7°C in just 50 years (see Figure 1). This is even more rapid than the global warming predictions for the next century (+2°C by 2100, according to the Intergovernmental Panel on Climate Change). Although the causes of the earlier event were natural and therefore different from the present human-induced global warming, the environmental responses of 10,000 years ago can help us to predict the consequences of future climate change. This is important for the successful conservation of endangered species which may be unable to survive rapid climate change. | ['woodland'] | ",['woodland'],4
8,"Beach Ridge Geomorphology at Cape Grinnell, northern Greenland: A Less Icy Arctic in the Mid-Holocene | In northern Greenland, the Cape Grinnell beach ridge plain offers a 9,000 year multi-proxy record for isostatic recovery, storm history, and the hydrological changes related to precipitation and slope evolution. The chronology of uplifted beach ridges is constrained by ten geological 14C ages on shell and sea mammal bones and eleven upper limiting ages from archaeological sites that span the last 3,000 years. Beach ridges formed under the influence of open water storms with renewed frequency and intensity ca. 3 ka and 1 ka ago. A lack of shell may reflect cooler sea surface temperatures. The presence and absence of ice can be inferred by push-features. Three intervals of heightened precipitation produced extensive fan deltas: (a) after 9 ka BP (b) prior to 4.5 ka BP and (c) during the Little Ice Age (AD 1350-1900). Active solifluction lobes and colluvia cover beach ridge deposits that are between 9 and 7 ka old. | ['mason'] | ",['mason'],1
9,"A biogenic-silica delta18O record of climatic change during the last glacial-interglacial transition in southwestern Alaska | Despite growing evidence for environmental oscillations during the last glacial-interglacial transition from high latitude, terrestrial sites of the North Pacific rim, oxygen-isotopic records of these oscillations remain sparse. The lack of data is due partially to the paucity of lakes that contain carbonate sediment suitable for oxygen-isotopic analysis. We report here the first record of oxygen-isotopic composition in diatom silica (delta18OSi) from a lake in that region. delta18OSi increases gradually from 19.0 to 23.5permill between 12,340 and 11,000 14C yr B.P., reflecting marked climatic warming at the end of the last glaciation. Around 11,000 14C yr B.P., delta18OSi decreases by 1.7permill, suggesting a temperature decrease of 3.5-8.9degreeC at the onset of the Younger Dryas (YD) in southwestern Alaska. Climatic recovery began ca. 10,740 14C yr B.P., as inferred from the increase of delta18OSi to a maximum of 23.9permill near the end of the YD. Our data reveal that a YD climatic reversal in southwestern coastal areas of Alaska occurred, but the YD climate did not return to full-glacial conditions. | ['hu', 'shemesh'] | ","['hu', 'shemesh']",1
