study_id,ITRDB_Code,Study_Name,Latitude,Longitude,Elevation,Species,FirstYear,LastYear
3602,RUSS019,Jacoby - Lukunska River - LAGM - ITRDB RUSS019,72.5,105.17,40,LAGM,1580,1997
4566,RUSS080,Schweingruber - Novoja Rieka - LAGM - ITRDB RUSS080,72.45,101.75,70,LAGM,1624,1990
12690,RUSS216,Jacoby - Ari Mas - LAGM - ITRDB RUSS216,72.45,101.9,,LAGM,1593,1995
14006,RUSS221,D'Arrigo - Taymir Peninsula Composite - LAGM - ITRDB RUSS221,72,102,,LAGM,513,1997
4602,RUSS076,Schweingruber - Popigay - LAGM - ITRDB RUSS076,71.9,111.03,150,LAGM,1625,1990
4603,RUSS166,Schweingruber - Popigay B - LAGM - ITRDB RUSS166,71.9,111.03,150,LAGM,1914,1990
4317,RUSS077,Schweingruber - Ary-Ongorbynf-River A - LAGM - ITRDB RUSS077,71.7,118.58,140,LAGM,1708,1990
4318,RUSS163,Schweingruber - Ary-Ongorbynf-River B - LAGM - ITRDB RUSS163,71.7,118.58,140,LAGM,1937,1990
4330,RUSS124,Schweingruber - Balschaya Kamenka River - LAGM - ITRDB RUSS124,71.33,93.83,60,LAGM,1569,1990
4567,RUSS128,Schweingruber - Nuleger river - LAGM - ITRDB RUSS128,71.22,127.43,40,LAGM,1391,1990
4577,RUSS114,Schweingruber - Omoloya River - LAGM - ITRDB RUSS114,70.95,132.98,20,LAGM,1496,1991
3902,RUSS193,MacDonald - Lower Lena - LADE - ITRDB RUSS193,70.67,125.87,180,LADE,1405,1994
12692,RUSS218,Jacoby - River View - LAGM - ITRDB RUSS218,70.65,109.4667,,LAGM,1398,1997
4477,RUSS024,Schweingruber - Kotuykan River B - LAGM - ITRDB RUSS024,70.6,104.25,130,LAGM,1563,1990
4476,RUSS165,Schweingruber - Kotuykan River - LAGM - ITRDB RUSS165,70.6,104.25,130,LAGM,1855,1990
3568,RUSS184,Hughes - Indigirka - LAGM - ITRDB RUSS184,70.53,148.15,80,LAGM,1554,1994
4436,RUSS029,Schweingruber - Ikon River - LAGM - ITRDB RUSS029,70.52,89.5,50,LAGM,1657,1990
16794,RUSS239,Esper - Putorana - LASP - ITRDB RUSS239,70.5167,92.95,350,LASP,1663,2000
3571,RUSS185,Hughes - Lakeside south of Chokurdak - LAGM - ITRDB RUSS185,70.5,148.13,80,LAGM,1522,1994
3564,RUSS186,Hughes - Berelekh - LAGM - ITRDB RUSS186,70.47,144.27,80,LAGM,1200,1909
3570,RUSS187,Hughes - Kirlach - LAGM - ITRDB RUSS187,70.43,143.93,80,LAGM,1493,1994
12691,RUSS217,Jacoby - Kotuikan River - LAGM - ITRDB RUSS217,70.3667,103.2667,,LAGM,1420,1997
4694,RUSS142,"Schweingruber - Tschokurdach, Ochotingna - LAGM - ITRDB RUSS142",70.28,148.05,50,LAGM,1434,1990
4474,RUSS038,Schweingruber - Kotuy River - PCOB - ITRDB RUSS038,70.27,103.52,130,PCOB,1630,1990
4475,RUSS160,Schweingruber - Kotuy River B - PCOB - ITRDB RUSS160,70.27,103.52,130,PCOB,1881,1990
4341,RUSS106,"Schweingruber - Batagay,Chandon-river - LAGM - ITRDB RUSS106",70.25,138.17,80,LAGM,1550,1991
3561,RUSS188,Hughes - Allayka - LAGM - ITRDB RUSS188,70.05,146.45,80,LAGM,1572,1994
23931,AK162,Ackerman - Inigok Riparian - SAPC - ITRDB AK162,69.99,-153.04,35,SAPC,1968,2016
23932,AK163,Ackerman - Inigok Upland - SAPC - ITRDB AK163,69.99,-153.04,38,SAPC,1974,2016
34202,NORW029,Esper - Alta Wet - PISY - ITRDB NORW029,69.92,23.11,73,PISY,1801,2015
34203,NORW030,Esper - Alta Dry - PISY - ITRDB NORW030,69.92,23.11,73,PISY,1792,2015
4574,RUSS025,Schweingruber - Olenok River - LAGM - ITRDB RUSS025,69.78,119.12,130,LAGM,1482,1990
4575,RUSS161,Schweingruber - Olenok River - PCOB - ITRDB RUSS161,69.78,119.12,130,PCOB,1800,1990
4489,RUSS065,Schweingruber - Kuonamka River (trocken) - LAGM - ITRDB RUSS065,69.77,112.82,150,LAGM,1564,1990
4488,RUSS069,Schweingruber - Kuonamka River (feucht) - LAGM - ITRDB RUSS069,69.77,112.82,150,LAGM,1830,1990
4579,RUSS031,Schweingruber - Ozera Lama - PCOB - ITRDB RUSS031,69.58,90.5,60,PCOB,1640,1990
3744,NORW008,Kirchhefer - Vikran - PISY - ITRDB NORW008,69.53,18.73,100,PISY,1599,1992
4323,RUSS094,Schweingruber - Ayakli River A - LAGM - ITRDB RUSS094,69.53,97.53,550,LAGM,1540,1990
4324,RUSS162,Schweingruber - Ayakli River B - LAGM - ITRDB RUSS162,69.53,97.53,550,LAGM,1872,1990
34172,FINL078,Esper - Ailij‰rvi Inari Wet - PISY - ITRDB FINL078,69.52,28.57,120,PISY,1700,2011
34173,FINL079,Esper - Ailij‰rvi Inari Dry - PISY - ITRDB FINL079,69.52,28.57,120,PISY,1688,2011
12575,CANA319,Jacoby - Eagle Fecal/Horton River - PCGL - ITRDB CANA319,69.5,-127.8333,,PCGL,993,1994
12576,CANA320,Jacoby - Ptarmigan - PCGL - ITRDB CANA320,69.5,-127.8333,,PCGL,1426,1994
12577,CANA321,Jacoby - Eagle Fecal/Ptarmigan Merge - PCGL - ITRDB CANA321,69.5,-127.8333,,PCGL,1175,1993
3574,RUSS191,Hughes - Northern Yakutia - LAGM - ITRDB RUSS191,69.5,147,80,LAGM,1259,1994
3573,RUSS189,Hughes - Nanjan - LAGM - ITRDB RUSS189,69.45,150.25,80,LAGM,1500,1994
3990,NORW007,Meril‰inen - Karasjok - PISY - ITRDB NORW007,69.42,25.63,350,PISY,1698,2001
34196,NORW023,Esper - Nikkavatnet Wet - PISY - ITRDB NORW023,69.36,18.73,90,PISY,1834,2014
34197,NORW024,Esper - Nikkavatnet Dry - PISY - ITRDB NORW024,69.36,18.73,90,PISY,1788,2014
34200,NORW027,Esper - Skibotn Wet - PISY - ITRDB NORW027,69.35,20.32,72,PISY,1801,2013
34201,NORW028,Esper - Skibotn Dry - PISY - ITRDB NORW028,69.35,20.32,72,PISY,1816,2013
2857,FINL061,Briffa - Suojanpera - PISY - ITRDB FINL061,69.32,28.13,140,PISY,1532,1983
4702,RUSS059,Schweingruber - Uel-Siktjach river - LAGM - ITRDB RUSS059,69.28,125.33,130,LAGM,1694,1990
4310,RUSS132,Schweingruber - Andryuschkine - LAGM - ITRDB RUSS132,69.28,154.77,50,LAGM,1449,1991
34176,FINL082,Esper - Juomusj‰rvi Wet - PISY - ITRDB FINL082,69.26,27.4,200,PISY,1717,2011
34177,FINL083,Esper - Juomusj‰rvi Dry - PISY - ITRDB FINL083,69.26,27.4,200,PISY,1700,2011
4655,NORW004,Schweingruber - Skibotn - PISY - ITRDB NORW004,69.25,20.58,80,PISY,1775,1978
9930,RUSS199,Bunn - Tree Line - LAGM - ITRDB RUSS199,69.2,161.4333,10,LAGM,1821,2007
4465,RUSS078,Schweingruber - Kheta River - LASI - ITRDB RUSS078,69.12,84.5,80,LASI,1624,1990
4466,RUSS079,Schweingruber - Kheta River junge B‰ume - LASI - ITRDB RUSS079,69.12,84.5,80,LASI,1949,1990
3562,RUSS190,Hughes - Argaa - LAGM - ITRDB RUSS190,69.12,150.27,80,LAGM,1259,1930
3743,NORW009,Kirchhefer - Stonglandseidet - PISY - ITRDB NORW009,69.08,17.22,150,PISY,1403,1997
34194,NORW021,Esper - Fisktjˆrna Wet - PISY - ITRDB NORW021,69.06,19.34,151,PISY,1685,2014
