studyId,siteName,isPoly,latDD (float),lonDD (float),polyWKT (string),collectionYear,latestYear,earliestYear,genus,species,subspecies,auth,studyTitle (string),investigators (string),webLocation (string),added
database_itrdb_finl019,Laagennus Pyhantunturi National Park,FALSE,67,27.12,,1978,1978,1701,Picea,abies,,(L.) H. Karst.,Schweingruber - Laagennus Pyhantunturi National Park - PCAB - ITRDB FINL019,"Schweingruber, F.H.",https://doi.org/10.25921/f133-za41,FALSE
database_itrdb_finl020,Palasjarvi Palastunturi,FALSE,68.03,24.1,,1978,1978,1782,Picea,abies,,(L.) H. Karst.,Schweingruber - Palasjarvi Palastunturi - PCAB - ITRDB FINL020,"Schweingruber, F.H.",https://doi.org/10.25921/95vg-vf74,FALSE
database_itrdb_russ039,Pinega,FALSE,64.92,42.5,,1991,1991,1711,Picea,abies,,(L.) H. Karst.,Schweingruber - Pinega - PCAB - ITRDB RUSS039,"Schweingruber, F.H.",https://doi.org/10.25921/hek7-pa26,FALSE
database_itrdb_russ043,Voroney,FALSE,63.43,43.55,,1990,1990,1753,Picea,abies,,(L.) H. Karst.,Schweingruber - Voroney - PCAB - ITRDB RUSS043,"Schweingruber, F.H.",https://doi.org/10.25921/evfa-8z62,FALSE
database_itrdb_russ096,Murmashi,FALSE,68.77,32.8,,1992,1992,1678,Picea,abies,,(L.) H. Karst.,Schweingruber - Murmashi - PCAB - ITRDB RUSS096,"Schweingruber, F.H.",https://doi.org/10.25921/1ca9-6z47,FALSE
database_itrdb_swed017,Arjeplog,FALSE,66.07,17.98,,1978,1978,1634,Picea,abies,,(L.) H. Karst.,Schweingruber - Arjeplog - PCAB - ITRDB SWED017,"Schweingruber, F.H.",https://doi.org/10.25921/7hsm-yg60,FALSE
database_itrdb_cana297,Falls,FALSE,61.2,-120,,2008,2008,1816,Pinus,balfouriana,,Balf.,Bunn - Falls - PIBA - ITRDB CANA297,"Bunn, A.G.; Lloyd, A.H.; Berner, L.T.",https://doi.org/10.25921/wcza-za08,FALSE
database_itrdb_cana300,Darcey Lake,FALSE,60.9167,-111.6,,2008,2008,1894,Pinus,balfouriana,,Balf.,Bunn - Darcey Lake - PIBA - ITRDB CANA300,"Bunn, A.G.; Lloyd, A.H.; Berner, L.T.",https://doi.org/10.25921/8pp8-b429,FALSE
database_itrdb_cana305,Electric Light Forest,FALSE,61.35,-120.8,,2008,2008,1922,Pinus,balfouriana,,Balf.,Bunn - Electric Light Forest - PIBA - ITRDB CANA305,"Bunn, A.G.; Lloyd, A.H.; Berner, L.T.",https://doi.org/10.25921/t7r4-8687,FALSE
database_itrdb_cana307,Taltson River,FALSE,60.55,-110.6,,2008,2008,1899,Pinus,balfouriana,,Balf.,Bunn - Taltson River - PIBA - ITRDB CANA307,"Bunn, A.G.; Lloyd, A.H.; Berner, L.T.",https://doi.org/10.25921/f71t-0269,FALSE
database_itrdb_cana132,Wood Buffalo National Park Site PR,FALSE,59.75,-112.2,,1992,1992,1852,Pinus,banksiana,,Lamb.,Larsen - Wood Buffalo National Park Site PR - PIBN - ITRDB CANA132,"Larsen, C.; Moser, K.A.",https://doi.org/10.25921/zz7h-kv04,FALSE
database_itrdb_cana133,Wood Buffalo National Park Site NL,FALSE,59.58,-111.33,,1992,1992,1853,Pinus,banksiana,,Lamb.,Larsen - Wood Buffalo National Park Site NL - PIBN - ITRDB CANA133,"Larsen, C.; Moser, K.A.",https://doi.org/10.25921/c5tn-d132,FALSE
database_itrdb_cana283,Shadow Lake,FALSE,62.57,-114.35,,2005,2005,1873,Pinus,banksiana,,Lamb.,St-Onge - Shadow Lake - PIBN - ITRDB CANA283,"St-Onge, S.; Pisaric, M.F.J.; Kokelj, S.",https://doi.org/10.25921/tt5k-1c47,FALSE
database_itrdb_cana284,Settling Pond,FALSE,62.52,-114.35,,2005,2005,1862,Pinus,banksiana,,Lamb.,St-Onge - Settling Pond - PIBN - ITRDB CANA284,"St-Onge, S.; Pisaric, M.F.J.; Kokelj, S.",https://doi.org/10.25921/aj78-qm43,FALSE
