studyId,siteName,isPoly,latDD (float),lonDD (float),polyWKT (string),collectionYear,latestYear,earliestYear,genus,species,subspecies,auth,studyTitle (string),investigators (string),webLocation (string),added
"sourcenode_database_itrdb_russ019","Lukunska River",false,72.500000,105.170000,"",1997,1997,1580,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Jacoby - Lukunska River - LAGM - ITRDB RUSS019","Jacoby, G.C.; Frank, D.C.; Pederson, N.; Lovelius, N.; Shumilov, O.","https://doi.org/10.25921/9vsb-3m50",false
"sourcenode_database_itrdb_russ080","Novoja Rieka",false,72.450000,101.750000,"",1990,1990,1624,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Schweingruber - Novoja Rieka - LAGM - ITRDB RUSS080","Schweingruber, F.H.","https://doi.org/10.25921/e9gt-w192",false
"sourcenode_database_itrdb_russ216","Ari Mas",false,72.450000,101.900000,"",1995,1995,1593,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Jacoby - Ari Mas - LAGM - ITRDB RUSS216","Jacoby, G.C.; Frank, D.C.; Pederson, N.; Lovelius, N.; Shumilov, O.","https://doi.org/10.25921/dnsq-tj13",false
"sourcenode_unknown_On the long-term context for late twentieth century warming","Taymir Peninsula",false,72.000000,102.000000,"",1997,1997,513,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"D'Arrigo - Taymir Peninsula Composite - LAGM - ITRDB RUSS221","D'Arrigo, R.D.; Wilson, R.J.S.; Jacoby, G.C.","https://doi.org/10.25921/zknj-6494",false
"sourcenode_database_itrdb_russ076","Popigay",false,71.900000,111.030000,"",1990,1990,1625,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Schweingruber - Popigay - LAGM - ITRDB RUSS076","Schweingruber, F.H.","https://doi.org/10.25921/1k51-b754",false
"sourcenode_database_itrdb_russ166","Popigay B",false,71.900000,111.030000,"",1990,1990,1914,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Schweingruber - Popigay B - LAGM - ITRDB RUSS166","Schweingruber, F.H.","https://doi.org/10.25921/y1n6-3910",false
"sourcenode_database_itrdb_russ077","Ary-Ongorbynf-River A",false,71.700000,118.580000,"",1990,1990,1708,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Schweingruber - Ary-Ongorbynf-River A - LAGM - ITRDB RUSS077","Schweingruber, F.H.","https://doi.org/10.25921/xg1r-vh06",false
"sourcenode_database_itrdb_russ163","Ary-Ongorbynf-River B",false,71.700000,118.580000,"",1990,1990,1937,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Schweingruber - Ary-Ongorbynf-River B - LAGM - ITRDB RUSS163","Schweingruber, F.H.","https://doi.org/10.25921/ah2m-p719",false
"sourcenode_database_itrdb_russ124","Balschaya Kamenka River",false,71.330000,93.830000,"",1990,1990,1569,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Schweingruber - Balschaya Kamenka River - LAGM - ITRDB RUSS124","Schweingruber, F.H.","https://doi.org/10.25921/b7pf-dm10",false
"sourcenode_database_itrdb_russ128","Nuleger river",false,71.220000,127.430000,"",1990,1990,1391,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Schweingruber - Nuleger river - LAGM - ITRDB RUSS128","Schweingruber, F.H.","https://doi.org/10.25921/b9xq-3h25",false
"sourcenode_database_itrdb_russ114","Omoloya River",false,70.950000,132.980000,"",1991,1991,1496,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Schweingruber - Omoloya River - LAGM - ITRDB RUSS114","Schweingruber, F.H.","https://doi.org/10.25921/6fhc-da82",false
"sourcenode_database_itrdb_russ193","Lower Lena",false,70.670000,125.870000,"",1994,1994,1405,"Larix decidua Mill.",,,,"MacDonald - Lower Lena - LADE - ITRDB RUSS193","MacDonald, G.M.; Case, R.A.; Szeicz, J.M.","https://doi.org/10.25921/87f6-kd32",false
"sourcenode_database_itrdb_russ218","River View",false,70.650000,109.466700,"",1997,1997,1398,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Jacoby - River View - LAGM - ITRDB RUSS218","Jacoby, G.C.; Frank, D.C.; Pederson, N.; Lovelius, N.; Shumilov, O.","https://doi.org/10.25921/zcg2-qs71",false
"sourcenode_database_itrdb_russ024","Kotuykan River B",false,70.600000,104.250000,"",1990,1990,1563,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Schweingruber - Kotuykan River B - LAGM - ITRDB RUSS024","Schweingruber, F.H.","https://doi.org/10.25921/xdbx-s906",false
"sourcenode_database_itrdb_russ165","Kotuykan River",false,70.600000,104.250000,"",1990,1990,1855,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Schweingruber - Kotuykan River - LAGM - ITRDB RUSS165","Schweingruber, F.H.","https://doi.org/10.25921/a508-4r62",false
"sourcenode_database_itrdb_russ184","Indigirka",false,70.530000,148.150000,"",1994,1994,1554,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Hughes - Indigirka - LAGM - ITRDB RUSS184","Hughes, M.K.; Vaganov, E.A.; Shiyatov, S.G.; Touchan, R.; Funkhouser, G.","https://doi.org/10.25921/j2qb-cj73",false
"sourcenode_database_itrdb_russ029","Ikon River",false,70.520000,89.500000,"",1990,1990,1657,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Schweingruber - Ikon River - LAGM - ITRDB RUSS029","Schweingruber, F.H.","https://doi.org/10.25921/f87r-2n62",false
"sourcenode_database_itrdb_russ239","Putorana",false,70.516700,92.950000,"",2000,2000,1663,"Larix spp. Mill.",,,,"Esper - Putorana - LASP - ITRDB RUSS239","Esper, J.; Nievergelt, D.; Schweingruber, F.H.","https://doi.org/10.25921/0wnn-az56",false
"sourcenode_database_itrdb_russ185","Lakeside south of Chokurdak",false,70.500000,148.130000,"",1994,1994,1522,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Hughes - Lakeside south of Chokurdak - LAGM - ITRDB RUSS185","Hughes, M.K.; Vaganov, E.A.; Shiyatov, S.G.; Touchan, R.; Funkhouser, G.","https://doi.org/10.25921/ekhq-8z51",false
