taxon_id,family,genus,species,auth
taxonnode_species_picea_sitchensis_bong carri233re,Pinaceae,Picea,Picea sitchensis,(Bong.) Carri?re
taxonnode_species_picea_glauca_moench voss,Pinaceae,Picea,Picea glauca,(Moench) Voss
taxonnode_species_picea_mariana_mill britton sterns amp poggenb,Pinaceae,Picea,Picea mariana,"(Mill.) Britton, Sterns & Poggenb."
taxonnode_species_larix_laricina_du roi k koch,Pinaceae,Larix,Larix laricina,(Du Roi) K.Koch
taxonnode_species_pinus_banksiana_lamb,Pinaceae,Pinus,Pinus banksiana,Lamb.
taxonnode_genus_picea,Pinaceae,Picea,,
taxonnode_species_pinus_balfouriana_balf,Pinaceae,Pinus,Pinus balfouriana,Balf.
taxonnode_species_abies_lasiocarpa_hook nutt,Pinaceae,Abies,Abies lasiocarpa,(Hook.) Nutt.
taxonnode_species_pinus_sylvestris_l,Pinaceae,Pinus,Pinus sylvestris,L.
taxonnode_species_picea_abies_l h karst,Pinaceae,Picea,Picea abies,(L.) H.Karst.
taxonnode_species_larix_sibirica_ledeb,Pinaceae,Larix,Larix sibirica,Ledeb.
taxonnode_species_larix_gmelinii_rupr kuzen,Pinaceae,Larix,Larix gmelinii,(Rupr.) Kuzen.
taxonnode_species_picea_obovata_ledeb,Pinaceae,Picea,Picea obovata,Ledeb.
taxonnode_species_larix_decidua_mill,Pinaceae,Larix,Larix decidua,Mill.
taxonnode_genus_larix,Pinaceae,Larix,,
taxonnode_species_betula_pubescens_ehrh,Betulaceae,Betula,Betula pubescens,Ehrh.
taxonnode_species_pinus_sibirica_du tour,Pinaceae,Pinus,Pinus sibirica,Du Tour
taxonnode_genus_pinus,Pinaceae,Pinus,,
taxonnode_genus_artemisia,Compositae,Artemisia,,
taxonnode_family_poaceae,Poaceae,,,
taxonnode_species_caltha_palustris_l,Ranunculaceae,Caltha,Caltha palustris,L.
taxonnode_species_koenigia_islandica_l,Polygonaceae,Koenigia,Koenigia islandica,L.
taxonnode_species_betula_nana_l,Betulaceae,Betula,Betula nana,L.
taxonnode_species_oxyria_digyna_l hill,Polygonaceae,Oxyria,Oxyria digyna,(L.) Hill
taxonnode_genus_salix,Salicaceae,Salix,,
taxonnode_species_saxifraga_oppositifolia_l,Saxifragaceae,Saxifraga,Saxifraga oppositifolia,L.
taxonnode_species_juniperus_communis_l,Cupressaceae,Juniperus,Juniperus communis,L.
taxonnode_genus_botrychium,Ophioglossaceae,Botrychium,,
taxonnode_species_thalictrum_alpinum_l,Ranunculaceae,Thalictrum,Thalictrum alpinum,L.
taxonnode_species_dryas_octopetala_l,Rosaceae,Dryas,Dryas octopetala,L.
taxonnode_genus_populus,Salicaceae,Populus,,
taxonnode_species_salix_lanata_l,Salicaceae,Salix,Salix lanata,L.
taxonnode_species_duschekia_fruticosa_rupr,Betulaceae,Betula,Betula fruticosa,Pall.
taxonnode_species_eriophorum _angustifolium_honckeny,Cyperaceae,Eriophorum,Eriophorum angustifolium,Honck.
taxonnode_genus_eriophorum,Cyperaceae,Eriophorum,,
taxonnode_species_carex _maritima_gunnerus,Cyperaceae,Carex,Carex maritima,Gunnerus
taxonnode_species_carex _lachenalii_schkuhr,Cyperaceae,Carex,Carex lachenalii,Schkuhr
taxonnode_species_carex _duriuscula_camey,Cyperaceae,Carex,Carex duriuscula,C.A.Mey.
taxonnode_species_carex_dioica_l,Cyperaceae,Carex,Carex dioica,L.
taxonnode_species_carex_chordorrhiza_ehrh ex lf,Cyperaceae,Carex,Carex chordorrhiza,L.f.
taxonnode_species_carex_nardina_fr,Cyperaceae,Carex,Carex nardina,(Hornem.) Fr.
taxonnode_species_carex _vesicaria_l,Cyperaceae,Carex,Carex vesicaria,L.
taxonnode_species_carex _rostrata_stokes ,Cyperaceae,Carex,Carex rostrata,Stokes
taxonnode_species_carex_podocarpa_rbr,Cyperaceae,Carex,Carex podocarpa,R.Br.
taxonnode_species_carex_microchaeta_bertol ex moris,Cyperaceae,Carex,Carex microchaeta,Holm
taxonnode_species_carex _aquatilis_wahlenberg,Cyperaceae,Carex,Carex aquatilis,Wahlenb.
taxonnode_genus_carex,Cyperaceae,Carex,,
taxonnode_genus_saussurea,Compositae,Saussurea,,
